Title,Seller,Price,Reviews
Laptop Gamer LENOVO LOQ NVIDIA GeForce RTX 3050 AMD Ryzen 5 16GB RAM 512GB SSD Windows 11 Home Mouse DXT,Por Grupo Decme,17499,4.8
Laptop Gamer Lenovo Gaming NVIDIA Geforce Rtx 3050 Amd Ryzen 5 16gb 1.5tb Ssd Windows 11 Home Mouse Dxt,Por Grupo Decme,18499,4.9
Lenovo Loq Ryzen 5 7235hs Rtx 3050 512gb Ssd 12gb Ddr5 Win11 Color Gris,Por ELECTRONICS MEXICO,12635,0.0
Laptop Gamer LENOVO LOQ NVIDIA GeForce RTX 3050 AMD Ryzen 5 32GB RAM 1TB SSD Windows 11 Home,Por Grupo Decme,19999,4.9
Notebook Lenovo Gaming Loq 15.6 Amd R7 512gb 24gb Nvidia Color Gris,Por CAPITALL,29999,5.0
Lenovo Loq 15irx10 Intel Core I5 2x12gb Ram 512gb Ssd Gris,Por Lenovo,31999,0.0
Portátil Lenovo LOQ 15AHP10 Gaming Amd R7 24gb 512gb Nvidia Rtx 5060 Luna Grey,Por Lenovo,33999,5.0
Notebook Gamer Rtx 4070 Ryzen 7 144hz 15.6'' Lenovo Loq Color Gris Oscuro,Por Supergamer,26999,4.9
Laptop Lenovo Loq Core I5-12450hx 8gb Ram 512gb Rtx 3050 6gb Color Gris,No seller,14860,4.0
Lenovo Loq 15.6  1920 X 1080 Fhd 144hz Gaming Notebook In...,No seller,18253,0.0
"Lenovo Laptop Gaming Loq 15arp9 | 15.6\ Fhd Amd Ryzen 7 7435hs 8 Núcleos 24 Gb Ram 512 Gb Ssd | Nvidia Geforce Rtx 4050 6 Gb | Teclado Retroiluminado, Windows 11 Home",Por ELECTRONICS MEXICO,18647,4.6
Notebook Lenovo Gaming Loq Intel Core I5 16gb 1tb Nvidia Rtx Color Gris,Por CAPITALL,49999,5.0
Laptop Lenovo Loq 15iax9e Gamer Intel Ci5 8gb 512gb W11h Color Luna Grey,Por Laptop Mexico,20999,2.3
Laptop Gamer Lenovo Loq Ci5 Rtx3050 16gb 512ssd Color Luna Grey con Mouse incluido,Por CAPITALL,19999,4.7
Lenovo Loq 15irx10 Intel Core I7 2x12gb 1tb Ssd Gris,Por Lenovo,33999,4.0
"Laptop Gamer Lenovo LOQ 16IRH8 : Intel Core i7 13620H, RAM 16GB DDR5, SSD 512GB, Pantalla 16"" LED, NVIDIA GeForce RTX 4060, Windows 11 Home",No seller,30999,4.5
Laptop Gamer Lenovo Loq 15iax9 15.6 I5-12450hx Rtx 4050 16gb Plata,Por Tienda Oficial Pedidos Com,29999,0.0
"Laptop Lenovo: Amd Ryzen 7, 16gb, Ssd 512gb, Rtx4060, Inglés",Por ELECTRONICS MEXICO,28734,5.0
"Lenovo Loq 15arp9, Ryzen 7, Ram 24gb, 512gb Ssd, Rtx 4050",Por PCEL,21569,0.0
Laptop Lenovo Loq 15iax9e Gamer Intel Ci5 8gb 512gb + Regalo Luna Grey,Por Laptop Mexico,20999,0.0
"Laptop Gamer Lenovo Loq 15iax9e: I5, 8gb, Ssd 512gb, Rtx2050 Luna Grey",Por PCEL,12699,5.0
Laptop Gamer Lenovo Loq 83GS001CUS Intel I5-12450hx 12 Ram 512ssd Rtx3050 6gb Color Gris,No seller,14759,4.6
"Laptop Lenovo Loq 15arp9: R7, 12gb, Ssd 512gb, Rtx 4060 Gris",Por PCEL,21999,0.0
Lenovo Loq 15irx10 Core I5 + Mouse Inalámbrico 530 Azul,Por Lenovo,32598,0.0
"Notebook gamer Lenovo LOQ 15IRH8 15.6"" Intel Core i5 13420H 8GB de RAM 512GB SSD NVIDIA GeForce RTX 3050 144 Hz Windows 11 Color Storm Gray (Nuevo con caja abierta)",Por Fabrica Directo,19999,0.0
Laptop Lenovo Loq Core I5 16gb Ram 512gb Gris Rtx 3050 6gb,Por ZONA DIGITAL 83,17799,0.0
"Laptop Gamer LENOVO LOQ 16IRH8 NVIDIA GeForce RTX 4050 Intel Core i5 13420H 8GB RAM 512GB SSD 16"" Windows 11 Home Mouse Teclado en Español",No seller,24999,4.6
Laptop Gamer Lenovo Loq Rtx 3050 Ryzen 5 16gb 512gb + Mouse,Por NVIDIA,16899,0.0
Laptop Lenovo Loq 15iax9e 15.6  Core I5 8gb 512gb Rtx2050,Por Supergamer,13199,0.0
Laptop Gamer Lenovo Loq Rtx 3050 Ryzen 5 16gb 1.5tb + Mouse,Por NVIDIA,17899,0.0
Gaming Loq 15 I5 12° / 12 Ram / Ssd 512 / Rtx 3050/ 15.6'',No seller,15273,0.0
Lenovo Loq 15 Core I5 13th 16gb Ram 1tb Rtx 3050 6gb 15.6 Gris Oscuro (Reacondicionado),No seller,22500,0.0
Laptop Gamer Lenovo Loq Rtx 3050 Ryzen 5 7235hs 32gb 1tb,Por NVIDIA,23499,0.0
Laptop Gamer Lenovo Loq 15iax9 15.6 I5-12450hx Rtx 4050 16gb,Por SelectValue,26093,0.0
Lenovo Loq Gamer 15 Core I5 13th 16gb 1tb Ssd Rtx-3050 144hz Gris Oscuro (Reacondicionado),No seller,25000,0.0
Lenovo Loq 15iax9e  Core I5-12450hx 16gb 512gb 15.6 Rtx 6gb Gris Ima (Reacondicionado),No seller,14900,0.0
Laptop Gamer Lenovo Loq Rtx 3050 Ryzen 5 16g 512gb Ssd Mouse Gris,Por Grupo Decme,21499,0.0
Laptop Lenovo Loq 15iax9e 15.6 Rtx 3050 I5 8gb 512gb W11h,Por Supergamer,16999,0.0
Laptop Gamer Lenovo Loq Rtx 3050 Ryzen 5 16g 512gb Ssd Mouse,Por NVIDIA,21499,0.0
Lenovo Loq 15 Core I5 13th 16gb Ram 1tb Rtx 3050 6gb 15.6. Gris Oscuro (Reacondicionado),No seller,23500,0.0
Lenovo Loq Gamer 15 Core I5 13th 16gb 1tb Ssd Rtx 3050 144hz Gris Oscuro (Reacondicionado),No seller,24000,0.0
Compatível Nueva Tapa Trasera For Loq 15irx9 Loq 15ahp9,No seller,861,0.0
"Compatível 5cb1m65361 For Loq 15irx9, Loq 15iax9, Cubierta",No seller,1026,0.0
"Lenovo Loq Essential , Fhd 144 Hz , I5-12450hx, Rtx 2050",No seller,16136,0.0
Laptop Gamer Lenovo Loq Ci5 Rtx3050 16gb 512ssd Color Gris,Por CAPITALL,19998,0.0
Lenovo Loq 15.6  Fhd 144hz Gaming Laptop | Intel Core I5-...,No seller,16363,0.0
Laptop Lenovo Loq Ryzen 5 7235hs 64gb Ram 2tb Ssd Gris,Por TECH ADVANTAGE,29920,0.0
Laptop Lenovo Loq Ryzen 7 7435hs 16gb Ram 512gb Ssd Gris,Por TECH ADVANTAGE,33957,0.0
Laptop Lenovo Loq Ryzen 7 4700u 8gb Ram 2tb Ssd,Por TECH ADVANTAGE,44847,0.0
